FR0011330513;540.38;541.0;advanced condition failed
FR0013435716;1377.71;1316000.0;advanced condition failed
LU1819480192;2093.54;2101.0;advanced condition failed
FR0000095465;430.54;417.0;advanced condition failed
LU1681038672;821.72;829.0;advanced condition failed
LU0563303998;9944.54;9999.0;advanced condition failed
FR0010657601;486.73;488.0;advanced condition failed
FR0013256583;563.21;564000.0;advanced condition failed
FR0012352524;5625.77;5622.0;advanced condition failed
LU0300743431;2853.65;2856.0;advanced condition failed
FR0013211190;2714.99;2720.938;advanced condition failed
LU1171478784;51.67;57.0;advanced condition failed
FR0010810507;21.94;20.0;advanced condition failed
FR0010773598;10.8;12.0;advanced condition failed
FR0011594134;19389.28;41855.21;advanced condition failed
FR0007050190;33241.37;58729.0;advanced condition failed
FR0013252970;290.64;293000.0;advanced condition failed
FR0013319878;439.81;386000.0;advanced condition failed
FR0013455227;350.21;213000.0;advanced condition failed
LU0935230671;0.17;19.0;advanced condition failed
FR0007051040;98400.07;122782.0;advanced condition failed
LU0922334643;16164.73;16140.0;advanced condition failed
FR0011374081;24390.27;24921.0;advanced condition failed
FR0010213421;256.45;266.0;advanced condition failed
FR0010188383;6.21;5.964;advanced condition failed
LU0935220870;18.74;23.658;advanced condition failed
FR0011288513;1159.42;1160.0;advanced condition failed
FR0011144195;64.25;68.4845;advanced condition failed
FR0011707488;62.45;67.0;advanced condition failed
FR0000008674;17460.38;17682.26;advanced condition failed
FRSG00010H98;804.63;811000.0;advanced condition failed
FR0000447864;20.78;21.5046;advanced condition failed
FR0010375600;484.72;486.0;advanced condition failed
FR0007054572;204.48;2906.0;advanced condition failed
FR0013288917;60.4;62000.0;advanced condition failed
FR0013293495;1202.19;1208.104;advanced condition failed
FR0010706747;2913.95;2913.0;advanced condition failed
LU0303816887;16090.64;16034.74;advanced condition failed
LU0366534344;86.22;90.2;advanced condition failed
FR0013241858;52.09;52.0;advanced condition failed
FRSG00010761;1474.73;1481000.0;advanced condition failed
XS1817590380;696.77;701000.0;advanced condition failed
FR0010657122;273.32;259.33;advanced condition failed
FR0012633311;143.88;149.0;advanced condition failed
LU0203033955;4063.51;4061.0;advanced condition failed
LU1379103812;43.37;40.0;advanced condition failed
FR0010308825;9863.96;9968.0;advanced condition failed
FR0011586544;8.55;9.0;advanced condition failed
FR0000447807;1276.99;1278.8;advanced condition failed
LU0171306680;18731.41;13210.65;advanced condition failed
FR0011037746;1030.64;7701.0;advanced condition failed
LU0823414635;122.22;122.741;advanced condition failed
LU1829348520;78006.91;80587.0;advanced condition failed
FR0012632479;155.83;158000.0;advanced condition failed
LU0906524193;42.56;225.0;advanced condition failed
LU0119124781;3234.54;3255.0;advanced condition failed
FR0013321775;244.98;247000.0;advanced condition failed
XS1958432525;744.46;748000.0;advanced condition failed
FR0013281011;114.52;116000.0;advanced condition failed
LU0823434237;748.96;2009.314;advanced condition failed
XS1901765765;204.29;205000.0;advanced condition failed
LU1812091947;22094.96;22177.0;advanced condition failed
SE0000777724;18969.75;18885.316;advanced condition failed
FR0000438905;657.22;661.155;advanced condition failed
LU0095343421;48.29;50.22;advanced condition failed
FR0007078589;38523.09;39669.0;advanced condition failed
LU1103207525;132.6;656.552;advanced condition failed
LU0189847766;27.24;27.0;advanced condition failed
LU0740858492;1136.42;1131.0;advanced condition failed
FR0013415296;234.35;235000.0;advanced condition failed
IE00B03DF997;13792.6;13742.0;advanced condition failed
FR0000170318;7.59;6.94;advanced condition failed
FRSG000106Q8;821.83;825000.0;advanced condition failed
LU0823394852;639.5;1221.0;advanced condition failed
LU0431139764;29.65;32.0;advanced condition failed
XS1210015514;6064.0;6072000.0;advanced condition failed
FR0007085691;56.5;57.0;advanced condition failed
FR0010554303;1261.23;1263.18;advanced condition failed
FR0010135434;14.58;14.0;advanced condition failed
FR0013394707;1518.56;1524000.0;advanced condition failed
